,mean_delta
w_0,-0.010278553242054782
w_1,-0.022199585479241155
w_2,-0.04834345322071695
w_3,-0.024183161198665818
w_4,-0.031417087413559475
w_5,-0.0377342546703634
w_6,-0.031053786024877603
w_7,-0.011313688232178903
w_8,-0.021048548422233748
w_9,-0.02323980880915699
w_10,0.004294980801969538
w_11,0.018617067562769245
w_12,0.03255364551304846
w_13,0.033133648927720846
w_14,0.022234453908012368
w_15,0.030755956571225502
w_16,0.004571563430153488
w_17,0.03126834501880405
w_18,0.0350512498240466
w_19,0.024303885211824777
w_20,0.022654838542962335
